Date,Transaction ID,Branch,City,Product,SKU,Category,Qty,Unit Price SAR,Total SAR,Cost SAR,Payment Method
2026-07-01,TX-2026-07-01-0001,Riyadh - Tahlia,Riyadh,Basmati Rice 5kg,RIC-BAS-24,Rice & Grains,1,49.0,49.0,32.0,mada
2026-07-01,TX-2026-07-01-0002,Riyadh - Yasmin,Riyadh,Laundry Powder 2.5kg,HOU-LND-19,Household,2,23.8,47.6,56.0,cash
2026-07-01,TX-2026-07-01-0003,Jeddah - Rawdah,Jeddah,Croissant 4pcs,BAK-CRO-17,Bakery,2,13.0,26.0,16.0,apple_pay
2026-07-01,TX-2026-07-01-0004,Makkah - Ibrahim Khalil,Makkah,Arabic Coffee 250g,BEV-COF-08,Beverages,2,27.0,54.0,32.0,mada
2026-07-01,TX-2026-07-01-0005,Jeddah - Tahlia,Jeddah,Soap Bar 4pcs,PER-SOP-23,Personal Care,2,14.0,28.0,18.0,cash
2026-07-01,TX-2026-07-01-0006,Khobar - Corniche,Khobar,Fresh Milk 1L,DAI-MLK-04,Dairy & Eggs,1,6.05,6.05,5.5,visa
2026-07-02,TX-2026-07-02-0007,Riyadh - Tahlia,Riyadh,Basmati Rice 5kg,RIC-BAS-24,Rice & Grains,2,49.0,98.0,64.0,mastercard
2026-07-02,TX-2026-07-02-0008,Riyadh - Yasmin,Riyadh,Dishwashing Liquid 1L,HOU-DSH-18,Household,1,14.5,14.5,9.0,visa
2026-07-02,TX-2026-07-02-0009,Jeddah - Rawdah,Jeddah,Soap Bar 4pcs,PER-SOP-23,Personal Care,1,14.0,14.0,9.0,visa
2026-07-02,TX-2026-07-02-0010,Riyadh - Yasmin,Riyadh,Frozen Chicken 900g,FRZ-CHI-28,Frozen Foods,1,20.9,20.9,19.0,visa
2026-07-02,TX-2026-07-02-0011,Madinah - Quba,Madinah,Shampoo 400ml,PER-SHM-21,Personal Care,4,29.0,116.0,72.0,visa
2026-07-02,TX-2026-07-02-0012,Jeddah - Rawdah,Jeddah,Toothpaste 100ml,PER-PST-22,Personal Care,1,11.5,11.5,7.0,mada
2026-07-02,TX-2026-07-02-0013,Jeddah - Tahlia,Jeddah,Dishwashing Liquid 1L,HOU-DSH-18,Household,3,14.5,43.5,27.0,mastercard
2026-07-02,TX-2026-07-02-0014,Dammam - King Fahd,Dammam,Ice Cream 1L,FRZ-ICE-30,Frozen Foods,2,22.0,44.0,28.0,visa
2026-07-02,TX-2026-07-02-0015,Riyadh - Tahlia,Riyadh,Arabic Coffee 250g,BEV-COF-08,Beverages,4,27.0,108.0,64.0,mastercard
2026-07-03,TX-2026-07-03-0016,Riyadh - Yasmin,Riyadh,Cheese Slices 200g,DAI-CHS-07,Dairy & Eggs,5,19.0,95.0,60.0,visa
2026-07-03,TX-2026-07-03-0017,Jeddah - Rawdah,Jeddah,Shampoo 400ml,PER-SHM-21,Personal Care,2,29.0,58.0,36.0,mastercard
2026-07-03,TX-2026-07-03-0018,Jeddah - Tahlia,Jeddah,Bottled Water 330ml x12,BEV-WTR-09,Beverages,1,11.5,11.5,7.0,apple_pay
2026-07-03,TX-2026-07-03-0019,Dammam - King Fahd,Dammam,Basmati Rice 5kg,RIC-BAS-24,Rice & Grains,2,49.0,98.0,64.0,mastercard
2026-07-03,TX-2026-07-03-0020,Khobar - Corniche,Khobar,Arabic Coffee 250g,BEV-COF-08,Beverages,12,27.0,324.0,192.0,mastercard
2026-07-03,TX-2026-07-03-0021,Riyadh - Yasmin,Riyadh,Oats 1kg,RIC-OAT-25,Rice & Grains,1,13.2,13.2,12.0,cash
