Product,SKU,Category,Brand,Pack Size,Current Stock,Cost Price SAR,Shelf Price SAR,Barcode,Storage Type,Expiry Date,Batch Number,Reorder Level,Supplier
Full Cream Milk 1L,DAI-MLK-01,Dairy,Almarai,unit,176,3.2,5.5,62800990000001,ambient,2027-02-22,B001,10,Almarai Supply
Greek Yogurt 500g,DAI-YOG-02,Dairy,Almarai,unit,120,2.8,4.75,62800990000002,ambient,2027-02-22,B002,10,Almarai Supply
Processed Cheese Slices,DAI-CHS-03,Dairy,Puck,unit,72,6.0,9.5,62800990000003,ambient,2027-02-22,B003,10,Almarai Supply
Butter Blocks 200g,DAI-BTR-04,Dairy,Lurpak,unit,56,4.5,7.25,62800990000004,ambient,2027-02-22,B004,10,Almarai Supply
Free-Range Eggs 30pc,DAI-EGG-05,Dairy,Nabati,unit,54,14.0,21.0,62800990000005,ambient,2027-02-22,B005,10,Almarai Supply
Low-Fat Milk 1L,DAI-MLK-46,Dairy,Almarai,unit,112,3.0,5.0,62800990000006,ambient,2027-02-22,B006,10,Almarai Supply
Yogurt Drink 330ml,DAI-JRT-47,Dairy,Activia,unit,80,2.2,3.75,62800990000007,ambient,2027-02-22,B007,10,Almarai Supply
Cooking Cream 200ml,DAI-CRM-69,Dairy,Puck,unit,56,3.5,5.75,62800990000008,ambient,2027-02-22,B008,10,Almarai Supply
Caramel Popcorn 150g,SNK-CRP-06,Snacks,Generic,unit,60,4.0,7.5,62800990000009,ambient,2027-02-22,B009,10,Tamimi Supply
Mixed Nuts Premium 200g,SNK-NUT-07,Snacks,Generic,unit,35,12.0,22.0,62800990000010,ambient,2027-02-22,B010,10,Tamimi Supply
Digestive Biscuits 300g,SNK-BSC-08,Snacks,McVitie's,unit,200,2.5,4.5,62800990000011,ambient,2027-02-22,B011,10,Snacks Direct
Potato Chips Classic 170g,SNK-CHP-09,Snacks,Lays,unit,160,3.0,5.5,62800990000012,ambient,2027-02-22,B012,10,Snacks Direct
Chocolate Protein Bar,SNK-CHC-10,Snacks,Generic,unit,40,5.0,9.0,62800990000013,ambient,2027-02-22,B013,10,Tamimi Supply
Wafer Roll 100g,SNK-WFR-48,Snacks,KitKat,unit,64,2.0,3.75,62800990000014,ambient,2027-02-22,B014,10,Snacks Direct
Pretzel Sticks 150g,SNK-PRC-49,Snacks,Generic,unit,48,3.5,6.0,62800990000015,ambient,2027-02-22,B015,10,Tamimi Supply
Marshmallow Pack 200g,SNK-MLW-50,Snacks,Generic,unit,40,2.0,3.5,62800990000016,ambient,2027-02-22,B016,10,Tamimi Supply
Cheese Doritos 170g,SNK-CHD-70,Snacks,Doritos,unit,144,3.2,5.75,62800990000017,ambient,2027-02-22,B017,10,Snacks Direct
Popcorn Salted 100g,SNK-CHP-010,Snacks,Generic,unit,96,1.5,2.75,62800990000018,ambient,2027-02-22,B018,10,Tamimi Supply
Packaged Water 12-pack,DRK-WTR-11,Beverages,Nova,unit,12,4.0,7.5,62800990000019,ambient,2027-02-22,B019,10,Water Supply Co
Cola Cans 330ml 6-pack,DRK-CSD-12,Beverages,Coca-Cola,unit,168,5.0,9.0,62800990000020,ambient,2027-02-22,B020,10,Beverages KSA
Orange Juice 1L,DRK-JUC-13,Beverages,Almarai,unit,30,4.5,8.0,62800990000021,ambient,2027-02-22,B021,10,Almarai Supply
Energy Drink 250ml,DRK-ENR-14,Beverages,Red Bull,unit,96,3.5,6.5,62800990000022,ambient,2027-02-22,B022,10,Beverages KSA
Mango Lassi 300ml,DRK-MLT-51,Beverages,Generic,unit,56,2.8,5.0,62800990000023,ambient,2027-02-22,B023,10,Tamimi Supply
Sparkling Water 500ml,DRK-SPR-52,Beverages,Perrier,unit,72,2.0,3.5,62800990000024,ambient,2027-02-22,B024,10,Beverages KSA
Tonic Water 200ml,DRK-TON-71,Beverages,Generic,unit,48,2.5,4.5,62800990000025,ambient,2027-02-22,B025,10,Tamimi Supply
Flavored Milk Chocolate 300ml,DRK-MLK-84,Beverages,Almarai,unit,64,2.0,3.5,62800990000026,ambient,2027-02-22,B026,10,Almarai Supply
Frozen Chicken Nuggets 500g,FRZ-CHK-15,Frozen,Tyson,unit,112,8.0,14.0,62800990000027,ambient,2027-02-22,B027,10,Frozen Supply
Frozen Mixed Vegetables 1kg,FRZ-VGT-16,Frozen,Generic,unit,45,5.5,9.5,62800990000028,ambient,2027-02-22,B028,10,Tamimi Supply
Frozen Samosa 400g,FRZ-STM-17,Frozen,Generic,unit,80,4.5,8.0,62800990000029,ambient,2027-02-22,B029,10,Tamimi Supply
Frozen Meat Patties 500g,FRZ-MPT-18,Frozen,Generic,unit,40,12.0,18.0,62800990000030,ambient,2027-02-22,B030,10,Tamimi Supply
Frozen Paratha 10pc,FRZ-PRD-53,Frozen,Generic,unit,64,4.0,7.0,62800990000031,ambient,2027-02-22,B031,10,Tamimi Supply
Frozen Fish Fillet 400g,FRZ-FSH-54,Frozen,Generic,unit,48,7.0,12.0,62800990000032,ambient,2027-02-22,B032,10,Tamimi Supply
Frozen Beef Kebab 500g,FRZ-BFT-72,Frozen,Generic,unit,64,14.0,24.0,62800990000033,ambient,2027-02-22,B033,10,Tamimi Supply
Ice Cream Tub 500ml,FRZ-ICE-82,Frozen,Algida,unit,80,6.0,10.5,62800990000034,ambient,2027-02-22,B034,10,Frozen Supply
Dishwasher Tablets 30pc,HSH-DTR-19,Household,Finish,unit,64,12.0,20.0,62800990000035,ambient,2027-02-22,B035,10,Household Co
