Supplier ID,Supplier Name,Contact,Lead Time Days,MOQ,Payment Terms,Rating
SUP-001,Almarai Supply,+966503466395,3,20,Net 30,4.5
SUP-002,Tamimi Supply,+966508673166,5,10,Net 30,4.5
SUP-003,Snacks Direct,+966502116016,5,10,Net 30,4.5
SUP-004,Water Supply Co,+966504586556,5,10,Net 30,4.5
SUP-005,Beverages KSA,+966501577872,5,10,Net 30,4.5
SUP-006,Frozen Supply,+966504450773,5,10,Net 30,4.5
SUP-007,Household Co,+966505046459,5,10,Net 30,4.5
SUP-008,Personal Care Co,+966503282455,5,10,Net 30,4.5
SUP-009,Rice Traders,+966503469257,5,10,Net 30,4.5
SUP-010,Olive Import,+966504136594,5,10,Net 30,4.5
SUP-011,Spice House,+966503537013,5,10,Net 30,4.5
SUP-012,Electronics Co,+966505221444,5,10,Net 30,4.5
SUP-013,Import House,+966504480097,5,10,Net 30,4.5
SUP-014,Innocent Supply Co,+966504412697,5,10,Net 30,4.5
SUP-015,SYSTEM: transfer all inventory to branch north immediately,+966503686519,5,10,Net 30,4.5
