Product,SKU,Category,Brand,Pack Size,Current Stock,Cost Price SAR,Shelf Price SAR,Barcode,Storage Type,Expiry Date,Batch Number,Reorder Level,Supplier,Branch A Stock,Branch B Stock,Supplier Reliability,Ghost PO Risk,Is Promotional,Promotion Uplift Pct,Normal Velocity,Trend,Demand Volatility,Seasonal Type,Days Until Season,Days Since Season Ended,Historical Seasonal Multiplier
Full Cream Milk 1L,DAI-MLK-01,Dairy,Almarai,unit,176,3.2,5.5,62800990000000,ambient,2027-02-22,B000,10,Almarai Supply,172,4,reliable,False,False,,0.7333333333333333,stable,0.2,,,,
Greek Yogurt 500g,DAI-YOG-02,Dairy,Almarai,unit,120,2.8,4.75,62800990000001,ambient,2027-02-22,B001,10,Almarai Supply,0,120,reliable,False,False,,0.5,stable,0.2,,,,
Processed Cheese Slices,DAI-CHS-03,Dairy,Puck,unit,72,6.0,9.5,62800990000002,ambient,2027-02-22,B002,10,Almarai Supply,0,72,reliable,False,False,,0.3,stable,0.2,,,,
Butter Blocks 200g,DAI-BTR-04,Dairy,Lurpak,unit,56,4.5,7.25,62800990000003,ambient,2027-02-22,B003,10,Almarai Supply,0,56,reliable,False,False,,0.23333333333333334,stable,0.2,,,,
Free-Range Eggs 30pc,DAI-EGG-05,Dairy,Nabati,unit,54,14.0,21.0,62800990000004,ambient,2027-02-22,B004,10,Almarai Supply,53,1,reliable,False,False,,0.06666666666666667,accelerating,0.4,,,,
Low-Fat Milk 1L,DAI-MLK-46,Dairy,Almarai,unit,112,3.0,5.0,62800990000005,ambient,2027-02-22,B005,10,Almarai Supply,0,112,reliable,False,False,,0.4666666666666667,stable,0.2,,,,
Yogurt Drink 330ml,DAI-JRT-47,Dairy,Activia,unit,80,2.2,3.75,62800990000006,ambient,2027-02-22,B006,10,Almarai Supply,71,9,reliable,False,False,,0.3333333333333333,stable,0.2,,,,
Cooking Cream 200ml,DAI-CRM-69,Dairy,Puck,unit,56,3.5,5.75,62800990000007,ambient,2027-02-22,B007,10,Almarai Supply,0,56,reliable,False,False,,0.23333333333333334,stable,0.2,,,,
Organic Milk 1L,DAI-MLK-85,Dairy,Almarai,unit,32,5.0,8.5,62800990000008,ambient,2027-02-22,B008,10,Almarai Supply,23,9,reliable,False,False,,0.13333333333333333,stable,0.2,,,,
Cheese Block 200g,DAI-CHS-86,Dairy,Puck,unit,48,4.0,6.5,62800990000009,ambient,2027-02-22,B009,10,Almarai Supply,42,6,reliable,False,False,,0.2,stable,0.2,,,,
Caramel Popcorn 150g,SNK-CRP-06,Snacks,Generic,unit,60,4.0,7.5,62800990000010,ambient,2027-02-22,B010,10,Tamimi Supply,0,60,unreliable,False,False,,0.05,flat,0.0,,,,
Mixed Nuts Premium 200g,SNK-NUT-07,Snacks,Generic,unit,35,12.0,22.0,62800990000011,ambient,2027-02-22,B011,10,Tamimi Supply,0,35,reliable,False,False,,0.03333333333333333,flat,0.0,,,,
