item_sku,item_name,category_name,cost_price,sell_price,current_stock,reorder_level,max_stock,supplier
V12-DEAD-001,GT V12-DEAD-001,Home & Durable,8.00,15.00,50,0,250,Global Foods Traders
V12-DEAD-002,GT V12-DEAD-002,Home & Durable,25.00,45.00,120,0,600,Global Foods Traders
V12-DEAD-003,GT V12-DEAD-003,Home & Durable,10.00,20.00,0,0,10,Global Foods Traders
V12-SLOW-001,GT V12-SLOW-001,Beverages,6.00,12.00,0,1,10,Global Foods Traders
V12-SLOW-002,GT V12-SLOW-002,Beverages,4.00,8.00,40,0,200,Global Foods Traders
V12-FAST-001,GT V12-FAST-001,Groceries,5.00,11.00,100,4,500,Global Foods Traders
V12-FAST-002,GT V12-FAST-002,Groceries,7.00,14.00,0,6,10,Global Foods Traders
V12-FAST-003,GT V12-FAST-003,Groceries,9.00,18.00,0,7,10,Global Foods Traders
V12-FAST-004,GT V12-FAST-004,Bulk,2.00,5.00,2000,3,10000,Global Foods Traders
V12-SEASONAL-001,GT V12-SEASONAL-001,Seasonal,10.00,22.00,150,0,750,Global Foods Traders
V12-SEASONAL-002,GT V12-SEASONAL-002,Seasonal,3.00,7.00,90,0,450,Global Foods Traders
V12-OVERSTOCK-001,GT V12-OVERSTOCK-001,Bulk,15.00,30.00,500,2,2500,Global Foods Traders
V12-GROWTH-001,GT V12-GROWTH-001,Fresh,6.00,13.00,80,3,400,Global Foods Traders
V12-GROWTH-002,GT V12-GROWTH-002,Fresh,12.00,26.00,30,4,150,Global Foods Traders
V12-MARGIN-001,GT V12-MARGIN-001,Impulse,15.00,9.00,40,1,200,Global Foods Traders
V12-MARGIN-002,GT V12-MARGIN-002,Impulse,20.00,14.00,60,4,300,Global Foods Traders
V12-OWNER-001,GT V12-OWNER-001,Strategic,20.00,40.00,200,0,1000,Global Foods Traders
V12-OWNER-002,GT V12-OWNER-002,Strategic,8.00,17.00,150,0,750,Global Foods Traders
V12-PO-001,GT V12-PO-001,Groceries,4.00,9.00,0,4,10,Global Foods Traders
V12-PO-002,GT V12-PO-002,Groceries,5.00,10.00,70,2,350,Global Foods Traders
V12-UNKNOWN-001,GT V12-UNKNOWN-001,Home & Durable,3.00,7.00,25,0,125,Global Foods Traders
V12-UNKNOWN-002,GT V12-UNKNOWN-002,Home & Durable,2.00,5.00,30,0,150,Global Foods Traders
V12-HEALTHY-001,GT V12-HEALTHY-001,Groceries,6.00,12.00,60,2,300,Global Foods Traders
V12-HEALTHY-002,GT V12-HEALTHY-002,Groceries,4.00,9.00,45,1,225,Global Foods Traders
V12-HEALTHY-003,GT V12-HEALTHY-003,Groceries,5.00,11.00,20,0,100,Global Foods Traders
V12-OVERSTOCK-002,GT V12-OVERSTOCK-002,Bulk,40.00,80.00,120,1,600,Global Foods Traders
V12-STOCKOUT-001,GT V12-STOCKOUT-001,Groceries,8.00,16.00,10,7,50,Global Foods Traders
V12-SEASONAL-003,GT V12-SEASONAL-003,Seasonal,7.00,15.00,20,5,100,Global Foods Traders
V12-SEASONAL-004,GT V12-SEASONAL-004,Seasonal,9.00,20.00,60,4,300,Global Foods Traders
V12-DEAD-004,GT V12-DEAD-004,Home & Durable,10.00,19.00,300,0,1500,Global Foods Traders
V12-PO-003,GT V12-PO-003,Groceries,5.00,10.00,0,0,10,Global Foods Traders
V12-STOCKOUT-002,GT V12-STOCKOUT-002,Groceries,3.00,7.00,8,4,40,Global Foods Traders
V12-OVERSTOCK-003,GT V12-OVERSTOCK-003,Bulk,12.00,22.00,800,0,4000,Global Foods Traders
V12-FIL-000,Rice 5kg,Beverages,21.81,29.31,80,20,320,Riyadh Distributors
V12-FIL-001,Cooking Oil 3L,Groceries,8.32,10.37,40,10,160,Riyadh Distributors
V12-FIL-002,Sugar 2kg,Groceries,26.95,40.98,0,5,40,Al Baraka Supply
V12-FIL-003,Flour 5kg,Groceries,36.47,53.18,0,20,40,Riyadh Distributors
V12-FIL-004,Pasta 500g,Beverages,43.12,55.23,5,20,40,Riyadh Distributors
V12-FIL-005,Mayo 750ml,Groceries,4.14,6.41,15,10,60,Global Foods Traders
V12-FIL-006,Ketchup 1kg,Groceries,7.49,11.33,40,5,160,Global Foods Traders
V12-FIL-007,Olive Oil 1L,Groceries,26.78,36.61,40,10,160,Al Baraka Supply
V12-FIL-008,Tea 400g,Beverages,26.88,42.51,80,10,320,Global Foods Traders
V12-FIL-009,Coffee 250g,Beverages,12.27,14.69,150,5,600,Riyadh Distributors
V12-FIL-010,Milk 1L,Seasonal,12.73,15.33,15,20,60,Al Baraka Supply
V12-FIL-011,Yogurt 500g,Seasonal,7.25,9.42,40,5,160,Riyadh Distributors
V12-FIL-012,Cheddar 1kg,Bulk,10.87,14.93,2000,10,8000,Global Foods Traders
V12-FIL-013,Butter 500g,Beverages,34.85,53.87,40,5,160,Al Baraka Supply
V12-FIL-014,Eggs 30pk,Seasonal,32.21,46.90,5,20,40,Al Baraka Supply
