sku,expected_classification,expected_decision,category,expected_primary_action,financial_expectation
V12-DEAD-001,DEAD,DISCOUNT,DEAD,discount,CAPITAL_AT_RISK
V12-DEAD-002,DEAD,DISCOUNT,DEAD,discount,CAPITAL_AT_RISK
V12-DEAD-003,DEAD,DO_NOTHING,DEAD,none,NONE
V12-SLOW-001,SEASONAL,REORDER,SLOW,reorder,REVENUE_AT_RISK
V12-SLOW-002,HEALTHY,DO_NOTHING,SLOW,discount,CAPITAL_AT_RISK
V12-FAST-001,FAST,DO_NOTHING,FAST,none,NONE
V12-FAST-002,HEALTHY,REORDER,STOCKOUT,reorder,REVENUE_AT_RISK
V12-FAST-003,HEALTHY,DO_NOTHING,STOCKOUT,none,REVENUE_AT_RISK
V12-FAST-004,FAST,TRANSFER,OVERSTOCK,transfer,CAPITAL_AT_RISK
V12-SEASONAL-001,SEASONAL,DO_NOTHING,SEASONAL,none,CAPITAL_AT_RISK
V12-SEASONAL-002,SEASONAL,DO_NOTHING,SEASONAL,none,CAPITAL_AT_RISK
V12-OVERSTOCK-001,FAST,TRANSFER,OVERSTOCK,discount,CAPITAL_AT_RISK
V12-GROWTH-001,FAST,DO_NOTHING,GROWTH,none,NONE
V12-GROWTH-002,FAST,DO_NOTHING,GROWTH,none,NONE
V12-MARGIN-001,HEALTHY,DO_NOTHING,MARGIN,none,PROFIT_OPPORTUNITY
V12-MARGIN-002,FAST,DO_NOTHING,MARGIN,none,PROFIT_OPPORTUNITY
V12-OWNER-001,DEAD,DISCOUNT,OWNER_CONSTRAINT,blocked_by_constraint,CAPITAL_AT_RISK
V12-OWNER-002,HEALTHY,RECOVERY_MATCH,OWNER_CONSTRAINT,blocked_by_constraint,CAPITAL_AT_RISK
V12-PO-001,SLOW MOVING,DO_NOTHING,PO,none,REVENUE_AT_RISK
V12-PO-002,FAST,DO_NOTHING,PO,none,NONE
V12-UNKNOWN-001,UNKNOWN,MANUAL_REVIEW,DEAD,discount,CAPITAL_AT_RISK
V12-UNKNOWN-002,UNKNOWN,MANUAL_REVIEW,DEAD,none,CAPITAL_AT_RISK
V12-HEALTHY-001,FAST,DO_NOTHING,FAST,none,NONE
V12-HEALTHY-002,FAST,DO_NOTHING,FAST,none,NONE
V12-HEALTHY-003,HEALTHY,DO_NOTHING,FAST,none,NONE
V12-OVERSTOCK-002,FAST,TRANSFER,OVERSTOCK,discount,CAPITAL_AT_RISK
V12-STOCKOUT-001,FAST,DO_NOTHING,STOCKOUT,reorder,REVENUE_AT_RISK
V12-SEASONAL-003,SEASONAL,DO_NOTHING,SEASONAL,reorder,REVENUE_AT_RISK
V12-SEASONAL-004,SEASONAL,DO_NOTHING,SEASONAL,none,REVENUE_AT_RISK
V12-DEAD-004,DEAD,DISCOUNT,DEAD,discount,CAPITAL_AT_RISK
V12-PO-003,DEAD,DO_NOTHING,PO,reorder,NONE
V12-STOCKOUT-002,FAST,DO_NOTHING,STOCKOUT,reorder,REVENUE_AT_RISK
V12-OVERSTOCK-003,DEAD,DISCOUNT,OVERSTOCK,discount,CAPITAL_AT_RISK
V12-FIL-000,HEALTHY,RECOVERY_MATCH,SLOW,none,NONE
V12-FIL-001,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-002,SLOW MOVING,REORDER,STOCKOUT,none,NONE
V12-FIL-003,SLOW MOVING,REORDER,STOCKOUT,none,NONE
V12-FIL-004,HEALTHY,DO_NOTHING,SLOW,none,NONE
V12-FIL-005,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-006,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-007,FAST,DO_NOTHING,FAST,none,NONE
V12-FIL-008,SEASONAL,DO_NOTHING,SLOW,none,NONE
V12-FIL-009,HEALTHY,RECOVERY_MATCH,SLOW,none,NONE
V12-FIL-010,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-011,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-012,HEALTHY,RECOVERY_MATCH,OVERSTOCK,none,NONE
V12-FIL-013,SEASONAL,DO_NOTHING,SLOW,none,NONE
V12-FIL-014,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-015,SEASONAL,DO_NOTHING,SEASONAL,none,NONE
V12-FIL-016,DEAD,DISCOUNT,DEAD,none,NONE
V12-FIL-017,SLOW MOVING,REORDER,STOCKOUT,none,NONE
V12-FIL-018,FAST,TRANSFER,FAST,none,NONE
