transaction_at,item_name,item_sku,quantity,unit_price,cost_price,total_amount,transaction_type
2026-01-14,Beef 1kg,V12-FIL-016,1,53.56,33.49,53.56,sale
2026-01-14,Tomato 1kg,V12-FIL-019,1,5.71,3.66,5.71,sale
2026-01-14,Banana 1kg,V12-FIL-022,2,6.96,6.04,13.92,sale
2026-01-14,Chips 24pk,V12-FIL-028,2,63.10,44.25,126.20,sale
2026-01-14,Honey 500g,V12-FIL-042,2,46.14,37.11,92.28,sale
2026-01-14,Nuts 300g,V12-FIL-046,2,47.67,37.38,95.34,sale
2026-01-14,Ice Cream 2L,V12-FIL-052,3,62.98,41.88,188.94,sale
2026-01-14,Spring Onion,V12-FIL-054,1,49.59,37.91,49.59,sale
2026-01-14,Cashews 200g,V12-FIL-063,2,37.85,29.20,75.70,sale
2026-01-14,Sesame Paste,V12-FIL-067,3,6.93,4.95,20.79,sale
2026-01-14,Lemons 1kg,V12-FIL-075,2,6.80,4.99,13.60,sale
2026-01-14,Basil,V12-FIL-079,1,42.47,27.69,42.47,sale
2026-01-15,Beef 1kg,V12-FIL-016,1,53.56,33.49,53.56,sale
2026-01-15,Tomato 1kg,V12-FIL-019,1,5.71,3.66,5.71,sale
2026-01-15,Banana 1kg,V12-FIL-022,2,6.96,6.04,13.92,sale
2026-01-15,Chips 24pk,V12-FIL-028,2,63.10,44.25,126.20,sale
2026-01-15,Honey 500g,V12-FIL-042,2,46.14,37.11,92.28,sale
2026-01-15,Nuts 300g,V12-FIL-046,2,47.67,37.38,95.34,sale
2026-01-15,Ice Cream 2L,V12-FIL-052,3,62.98,41.88,188.94,sale
2026-01-15,Spring Onion,V12-FIL-054,1,49.59,37.91,49.59,sale
2026-01-15,Cashews 200g,V12-FIL-063,1,37.85,29.20,37.85,sale
2026-01-15,Sesame Paste,V12-FIL-067,2,6.93,4.95,13.86,sale
2026-01-15,Lemons 1kg,V12-FIL-075,1,6.80,4.99,6.80,sale
2026-01-15,Basil,V12-FIL-079,1,42.47,27.69,42.47,sale
2026-01-16,Beef 1kg,V12-FIL-016,1,53.56,33.49,53.56,sale
2026-01-16,Tomato 1kg,V12-FIL-019,1,5.71,3.66,5.71,sale
2026-01-16,Banana 1kg,V12-FIL-022,1,6.96,6.04,6.96,sale
2026-01-16,Chips 24pk,V12-FIL-028,1,63.10,44.25,63.10,sale
2026-01-16,Honey 500g,V12-FIL-042,1,46.14,37.11,46.14,sale
2026-01-16,Nuts 300g,V12-FIL-046,2,47.67,37.38,95.34,sale
2026-01-16,Ice Cream 2L,V12-FIL-052,2,62.98,41.88,125.96,sale
2026-01-16,Spring Onion,V12-FIL-054,1,49.59,37.91,49.59,sale
2026-01-16,Cashews 200g,V12-FIL-063,1,37.85,29.20,37.85,sale
2026-01-16,Sesame Paste,V12-FIL-067,2,6.93,4.95,13.86,sale
2026-01-16,Lemons 1kg,V12-FIL-075,1,6.80,4.99,6.80,sale
2026-01-16,Basil,V12-FIL-079,1,42.47,27.69,42.47,sale
2026-03-15,Beef 1kg,V12-FIL-016,3,53.56,33.49,160.68,sale
2026-03-15,Tomato 1kg,V12-FIL-019,2,5.71,3.66,11.42,sale
2026-03-15,Banana 1kg,V12-FIL-022,1,6.96,6.04,6.96,sale
2026-03-15,Chips 24pk,V12-FIL-028,2,63.10,44.25,126.20,sale
2026-03-15,Honey 500g,V12-FIL-042,3,46.14,37.11,138.42,sale
2026-03-15,Nuts 300g,V12-FIL-046,2,47.67,37.38,95.34,sale
2026-03-15,Ice Cream 2L,V12-FIL-052,2,62.98,41.88,125.96,sale
2026-03-15,Spring Onion,V12-FIL-054,2,49.59,37.91,99.18,sale
2026-03-15,Cashews 200g,V12-FIL-063,1,37.85,29.20,37.85,sale
2026-03-15,Sesame Paste,V12-FIL-067,3,6.93,4.95,20.79,sale
2026-03-15,Lemons 1kg,V12-FIL-075,1,6.80,4.99,6.80,sale
2026-03-15,Basil,V12-FIL-079,3,42.47,27.69,127.41,sale
2026-03-16,Beef 1kg,V12-FIL-016,3,53.56,33.49,160.68,sale
2026-03-16,Tomato 1kg,V12-FIL-019,1,5.71,3.66,5.71,sale
2026-03-16,Banana 1kg,V12-FIL-022,1,6.96,6.04,6.96,sale
2026-03-16,Chips 24pk,V12-FIL-028,1,63.10,44.25,63.10,sale
2026-03-16,Honey 500g,V12-FIL-042,2,46.14,37.11,92.28,sale
2026-03-16,Nuts 300g,V12-FIL-046,2,47.67,37.38,95.34,sale
2026-03-16,Ice Cream 2L,V12-FIL-052,2,62.98,41.88,125.96,sale
2026-03-16,Spring Onion,V12-FIL-054,2,49.59,37.91,99.18,sale
2026-03-16,Cashews 200g,V12-FIL-063,1,37.85,29.20,37.85,sale
2026-03-16,Sesame Paste,V12-FIL-067,2,6.93,4.95,13.86,sale
2026-03-16,Lemons 1kg,V12-FIL-075,1,6.80,4.99,6.80,sale
2026-03-16,Basil,V12-FIL-079,3,42.47,27.69,127.41,sale
2026-03-17,Milk 1L,V12-FIL-010,9,15.33,12.73,137.97,sale
2026-03-17,Yogurt 500g,V12-FIL-011,8,9.42,7.25,75.36,sale
2026-03-17,Eggs 30pk,V12-FIL-014,12,46.90,32.21,562.80,sale
2026-03-17,Chicken 1kg,V12-FIL-015,13,46.44,30.10,603.72,sale
2026-03-17,Beef 1kg,V12-FIL-016,3,53.56,33.49,160.68,sale
2026-03-17,Tomato 1kg,V12-FIL-019,1,5.71,3.66,5.71,sale
2026-03-17,Banana 1kg,V12-FIL-022,1,6.96,6.04,6.96,sale
2026-03-17,Apple 1kg,V12-FIL-023,7,6.32,5.13,44.24,sale
2026-03-17,Chips 24pk,V12-FIL-028,1,63.10,44.25,63.10,sale
2026-03-17,Chocolate 100g,V12-FIL-030,12,20.09,12.61,241.08,sale
2026-03-17,Soap 6pk,V12-FIL-033,9,29.31,23.83,263.79,sale
2026-03-17,Toothpaste 3pk,V12-FIL-035,8,55.25,39.53,442.00,sale
2026-03-17,Tissue 6pk,V12-FIL-036,13,19.20,13.90,249.60,sale
2026-03-17,Honey 500g,V12-FIL-042,2,46.14,37.11,92.28,sale
2026-03-17,Jam 400g,V12-FIL-043,7,35.14,24.76,245.98,sale
2026-03-17,Nuts 300g,V12-FIL-046,2,47.67,37.38,95.34,sale
2026-03-17,Ice Cream 2L,V12-FIL-052,2,62.98,41.88,125.96,sale
2026-03-17,Spring Onion,V12-FIL-054,2,49.59,37.91,99.18,sale
2026-03-17,Baby Carrots,V12-FIL-062,11,3.77,2.78,41.47,sale
2026-03-17,Cashews 200g,V12-FIL-063,1,37.85,29.20,37.85,sale
2026-03-17,Almonds 200g,V12-FIL-064,13,4.43,3.39,57.59,sale
2026-03-17,Sesame Paste,V12-FIL-067,2,6.93,4.95,13.86,sale
2026-03-17,Ginger 500g,V12-FIL-072,12,21.29,15.31,255.48,sale
2026-03-17,Paprika 100g,V12-FIL-074,7,34.73,25.81,243.11,sale
2026-03-17,Lemons 1kg,V12-FIL-075,1,6.80,4.99,6.80,sale
2026-03-17,Basil,V12-FIL-079,3,42.47,27.69,127.41,sale
2026-03-17,GT V12-SEASONAL-001,V12-SEASONAL-001,3,22.00,10.00,66.00,sale
2026-03-17,GT V12-SEASONAL-002,V12-SEASONAL-002,4,7.00,3.00,28.00,sale
2026-03-18,Milk 1L,V12-FIL-010,9,15.33,12.73,137.97,sale
2026-03-18,Yogurt 500g,V12-FIL-011,8,9.42,7.25,75.36,sale
2026-03-18,Eggs 30pk,V12-FIL-014,12,46.90,32.21,562.80,sale
2026-03-18,Chicken 1kg,V12-FIL-015,13,46.44,30.10,603.72,sale
2026-03-18,Apple 1kg,V12-FIL-023,7,6.32,5.13,44.24,sale
2026-03-18,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-18,Soap 6pk,V12-FIL-033,9,29.31,23.83,263.79,sale
2026-03-18,Toothpaste 3pk,V12-FIL-035,8,55.25,39.53,442.00,sale
2026-03-18,Tissue 6pk,V12-FIL-036,13,19.20,13.90,249.60,sale
2026-03-18,Jam 400g,V12-FIL-043,7,35.14,24.76,245.98,sale
2026-03-18,Baby Carrots,V12-FIL-062,11,3.77,2.78,41.47,sale
2026-03-18,Almonds 200g,V12-FIL-064,13,4.43,3.39,57.59,sale
2026-03-18,Ginger 500g,V12-FIL-072,12,21.29,15.31,255.48,sale
2026-03-18,Paprika 100g,V12-FIL-074,7,34.73,25.81,243.11,sale
2026-03-18,GT V12-SEASONAL-001,V12-SEASONAL-001,3,22.00,10.00,66.00,sale
2026-03-18,GT V12-SEASONAL-002,V12-SEASONAL-002,4,7.00,3.00,28.00,sale
2026-03-19,Milk 1L,V12-FIL-010,9,15.33,12.73,137.97,sale
2026-03-19,Yogurt 500g,V12-FIL-011,8,9.42,7.25,75.36,sale
2026-03-19,Eggs 30pk,V12-FIL-014,12,46.90,32.21,562.80,sale
2026-03-19,Chicken 1kg,V12-FIL-015,13,46.44,30.10,603.72,sale
2026-03-19,Apple 1kg,V12-FIL-023,7,6.32,5.13,44.24,sale
2026-03-19,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-19,Soap 6pk,V12-FIL-033,9,29.31,23.83,263.79,sale
2026-03-19,Toothpaste 3pk,V12-FIL-035,8,55.25,39.53,442.00,sale
2026-03-19,Tissue 6pk,V12-FIL-036,13,19.20,13.90,249.60,sale
2026-03-19,Jam 400g,V12-FIL-043,7,35.14,24.76,245.98,sale
2026-03-19,Baby Carrots,V12-FIL-062,11,3.77,2.78,41.47,sale
2026-03-19,Almonds 200g,V12-FIL-064,13,4.43,3.39,57.59,sale
2026-03-19,Ginger 500g,V12-FIL-072,12,21.29,15.31,255.48,sale
2026-03-19,Paprika 100g,V12-FIL-074,7,34.73,25.81,243.11,sale
2026-03-19,GT V12-SEASONAL-001,V12-SEASONAL-001,3,22.00,10.00,66.00,sale
2026-03-19,GT V12-SEASONAL-002,V12-SEASONAL-002,4,7.00,3.00,28.00,sale
2026-03-20,Milk 1L,V12-FIL-010,8,15.33,12.73,122.64,sale
2026-03-20,Yogurt 500g,V12-FIL-011,8,9.42,7.25,75.36,sale
2026-03-20,Eggs 30pk,V12-FIL-014,12,46.90,32.21,562.80,sale
2026-03-20,Chicken 1kg,V12-FIL-015,13,46.44,30.10,603.72,sale
2026-03-20,Apple 1kg,V12-FIL-023,7,6.32,5.13,44.24,sale
2026-03-20,Chocolate 100g,V12-FIL-030,11,20.09,12.61,220.99,sale
2026-03-20,Soap 6pk,V12-FIL-033,9,29.31,23.83,263.79,sale
2026-03-20,Toothpaste 3pk,V12-FIL-035,8,55.25,39.53,442.00,sale
2026-03-20,Tissue 6pk,V12-FIL-036,13,19.20,13.90,249.60,sale
2026-03-20,Jam 400g,V12-FIL-043,7,35.14,24.76,245.98,sale
2026-03-20,Baby Carrots,V12-FIL-062,11,3.77,2.78,41.47,sale
2026-03-20,Almonds 200g,V12-FIL-064,13,4.43,3.39,57.59,sale
2026-03-20,Ginger 500g,V12-FIL-072,12,21.29,15.31,255.48,sale
2026-03-20,Paprika 100g,V12-FIL-074,7,34.73,25.81,243.11,sale
2026-03-20,GT V12-SEASONAL-001,V12-SEASONAL-001,3,22.00,10.00,66.00,sale
2026-03-20,GT V12-SEASONAL-002,V12-SEASONAL-002,4,7.00,3.00,28.00,sale
2026-03-21,Milk 1L,V12-FIL-010,8,15.33,12.73,122.64,sale
2026-03-21,Yogurt 500g,V12-FIL-011,8,9.42,7.25,75.36,sale
2026-03-21,Eggs 30pk,V12-FIL-014,12,46.90,32.21,562.80,sale
