Date,Transaction ID,Branch,City,Product,SKU,Category,Qty,Unit Price SAR,Total SAR,Cost SAR,Payment Method
2026-08-27,TX-B2_poor_baqala-d07-000001,Riyadh - Souq,Riyadh,Canned Soup Variety,SLW-CAN-04,Canned Goods,1,6.5,6.5,3.8,card
2026-08-28,TX-B2_poor_baqala-d07-000002,Riyadh - Souq,Riyadh,Canned Soup Variety,SLW-CAN-04,Canned Goods,1,6.5,6.5,3.8,cash
2026-08-29,TX-B2_poor_baqala-d07-000003,Riyadh - Souq,Riyadh,Canned Soup Variety,SLW-CAN-04,Canned Goods,1,6.5,6.5,3.8,cash
2026-08-30,TX-B2_poor_baqala-d07-000004,Riyadh - Souq,Riyadh,Canned Soup Variety,SLW-CAN-04,Canned Goods,1,6.5,6.5,3.8,mada
2026-08-31,TX-B2_poor_baqala-d07-000005,Riyadh - Souq,Riyadh,Canned Soup Variety,SLW-CAN-04,Canned Goods,1,6.5,6.5,3.8,mada
2026-09-01,TX-B2_poor_baqala-d07-000006,Riyadh - Souq,Riyadh,Canned Soup Variety,SLW-CAN-04,Canned Goods,1,6.5,6.5,3.8,card
2026-08-27,TX-B2_poor_baqala-d07-000007,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,mada
2026-08-27,TX-B2_poor_baqala-d07-000008,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,card
2026-08-27,TX-B2_poor_baqala-d07-000009,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-27,TX-B2_poor_baqala-d07-000010,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,card
2026-08-27,TX-B2_poor_baqala-d07-000011,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-27,TX-B2_poor_baqala-d07-000012,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-27,TX-B2_poor_baqala-d07-000013,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,mada
2026-08-27,TX-B2_poor_baqala-d07-000014,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-27,TX-B2_poor_baqala-d07-000015,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-27,TX-B2_poor_baqala-d07-000016,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,mada
2026-08-27,TX-B2_poor_baqala-d07-000017,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-27,TX-B2_poor_baqala-d07-000018,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-27,TX-B2_poor_baqala-d07-000019,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-28,TX-B2_poor_baqala-d07-000020,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-28,TX-B2_poor_baqala-d07-000021,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,mada
2026-08-28,TX-B2_poor_baqala-d07-000022,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,card
2026-08-28,TX-B2_poor_baqala-d07-000023,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,mada
2026-08-28,TX-B2_poor_baqala-d07-000024,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-28,TX-B2_poor_baqala-d07-000025,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-28,TX-B2_poor_baqala-d07-000026,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-28,TX-B2_poor_baqala-d07-000027,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,mada
2026-08-28,TX-B2_poor_baqala-d07-000028,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,mada
2026-08-28,TX-B2_poor_baqala-d07-000029,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-28,TX-B2_poor_baqala-d07-000030,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,cash
2026-08-28,TX-B2_poor_baqala-d07-000031,Riyadh - Souq,Riyadh,Promo Chocolate Bar,PRM-CHC-06,Snacks,1,4.5,4.5,3.0,card
