Date,Transaction ID,Branch,City,Product,SKU,Category,Qty,Unit Price SAR,Total SAR,Cost SAR,Payment Method
2026-01-05,TX-B4_seasonal_retailer-d00-000001,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,cash
2026-01-05,TX-B4_seasonal_retailer-d00-000002,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,card
2026-01-05,TX-B4_seasonal_retailer-d00-000003,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,cash
2026-01-05,TX-B4_seasonal_retailer-d00-000004,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,cash
2026-01-05,TX-B4_seasonal_retailer-d00-000005,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,card
2026-01-05,TX-B4_seasonal_retailer-d00-000006,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,card
2026-01-05,TX-B4_seasonal_retailer-d00-000007,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,cash
2026-01-05,TX-B4_seasonal_retailer-d00-000008,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,mada
2026-01-05,TX-B4_seasonal_retailer-d00-000009,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,card
2026-01-05,TX-B4_seasonal_retailer-d00-000010,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,card
2026-01-05,TX-B4_seasonal_retailer-d00-000011,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,cash
2026-01-05,TX-B4_seasonal_retailer-d00-000012,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,mada
2026-01-05,TX-B4_seasonal_retailer-d00-000013,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,mada
2026-01-05,TX-B4_seasonal_retailer-d00-000014,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,cash
2026-01-05,TX-B4_seasonal_retailer-d00-000015,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,cash
2026-01-05,TX-B4_seasonal_retailer-d00-000016,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,card
2026-01-05,TX-B4_seasonal_retailer-d00-000017,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,cash
2026-01-05,TX-B4_seasonal_retailer-d00-000018,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,cash
2026-01-05,TX-B4_seasonal_retailer-d00-000019,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,mada
2026-01-05,TX-B4_seasonal_retailer-d00-000020,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,cash
2026-01-05,TX-B4_seasonal_retailer-d00-000021,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,mada
2026-01-05,TX-B4_seasonal_retailer-d00-000022,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,cash
2026-01-05,TX-B4_seasonal_retailer-d00-000023,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,cash
2026-01-05,TX-B4_seasonal_retailer-d00-000024,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,mada
2026-01-05,TX-B4_seasonal_retailer-d00-000025,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,mada
2026-01-05,TX-B4_seasonal_retailer-d00-000026,Abha - Central,Abha,Room Heater,SEA-HTR-01,Appliances,1,145.0,145.0,85.0,mada
